X,Y,OBJECTID,STARTDATE,TmSTARTDAT,FINISHDATE,TmFINISHDA,EXACTDATE,PARTMONTH,LOCNAME,AREAHA,LOCRELIAB,COUNTRYID,LOCUSTID,REPORTID,ACOMMENT,LOCPRESENT,SPECIESQRY,CONFIRMATN,BREEDING,REPRELIAB,SHPMINDSQM,SHPMAXDSQM,SHPMINDSIT,SHPMAXDSIT,SHPDENISOL,SHPDENSCAT,SHPDENGRP,SHPDENUNK,SHPSC,SHPSCCAT,SHPMATEGG,SHPMATHAT,SHPMATINS1,SHPMATINS2,SHPMATINS3,SHPMATINS4,SHPMATINS5,SHPMATINS6,SHPMATFLED,SHPMATUNK,SHPCOLGN,SHPCOLGNYL,SHPCOLGNBK,SHPCOLYLBK,SHPCOLBK,SHPAPPSOL,SHPAPPTRAN,SHPAPPGREG,SHPAPPUNK,GHPMINDSQM,GHPMAXDSQM,GHPMINDSIT,GHPMAXDSIT,GHPDENLOW,GHPDENMED,GHPDENHI,GHPDENUNK,GHPSC,GHPSCCAT,GHPMATEGG,GHPMATHAT,GHPMATINS1,GHPMATINS2,GHPMATINS3,GHPMATINS4,GHPMATINS5,GHPMATINS6,GHPMATFLED,GHPMATUNK,GHPCOLGN,GHPCOLYLBK,GHPCOLBK,GHPMINAHA,GHPMAXAHA,GHPARVSML,GHPARSML,GHPARMED,GHPARLGE,GHPARVLGE,GHPARUNK,SADMINDHA,SADMAXDHA,SADDENISOL,SADDENSCAT,SADDENGRP,SADDENUNK,SADSC,SADSCCAT,SADMATIMMA,SADMATMATG,SADMATMAT,SADMATCOP,SADMATLAY,SADMATUNK,SADCOLGN,SADCOLYLWG,SADCOLRD,SADCOLBN,SADCOLGY,SADAPPSOL,SADAPPTRAN,SADAPPGREG,SADAPPUNK,GADMINDHA,GADMAXDHA,GADDENLOW,GADDENMED,GADDENHI,GADDENUNK,GADSC,GADSCCAT,GADMATIMMA,GADMATMATG,GADMATMAT,GADMATCOP,GADMATLAY,GADMATUNK,GADCOLYL,GADCOLRD,GADMINASKM,GADMAXASKM,GADARVSML,GADARSML,GADARMED,GADARLGE,GADARVLGE,GADARUNK,GADFLYFROM,GADFLYTO,GADHTLOW,GADHTMED,GADHTHI,GADHTUNK,CTLSTDATE,CTLFNDATE,CTLEXACT,CTLPTMONTH,CTLPESTIC,CTLAPPRAT,CTLAPPRATU,CTLQTY,CTLQTYU,CTLARTREA,CTLARTREAU,CTLAPPHAND,CTLAPPVEHI,CTLAPPAIR,CTLAPPMECH,CTLAPPUNK,CTLESTKILL,CAT,Country
40.467,20.167,11731,1998/01/12 00:00:00+00,00:00,1998/01/12 00:00:00+00,00:00,Yes,, ,650.0,Exact, ,9769,SAU98-01,GROUND CONTROL,1,2,1,1,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,1,0,1,-1,0,0,1,1,1,0,0,0,8.0,8.0,0,1,0,0,0,0,0,0,0,0,0,0,1998/01/12 00:00:00+00,1998/01/12 00:00:00+00,1,-1,GROUND CONTROL,0.0, ,0.0, ,0.0, ,0,0,0,0,0,0,Swarm,Saudi Arabia
41.3000000000001,19.0500000000001,11737,1998/01/20 00:00:00+00,00:00,1998/01/20 00:00:00+00,00:00,Yes,, ,400.0,Exact, ,9892,SAU98-02,"GROUNDSPRAY, 90% KIL",1,2,1,1,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300000.0,500000.0,0,1,0,0,1,-1,0,0,1,1,1,0,0,0,6.0,6.0,0,1,0,0,0,0,0,0,0,0,0,0,1998/01/20 00:00:00+00,1998/01/20 00:00:00+00,1,-1,"GROUNDSPRAY, 90% KIL",0.0, ,0.0, ,0.0, ,0,0,0,0,0,90,Swarm,Saudi Arabia
40.6000000000001,20.7500000000001,11738,1998/01/19 00:00:00+00,00:00,1998/01/19 00:00:00+00,00:00,Yes,, ,130.0,Exact, ,9878,SAU98-02,"GROUNDSPRAY, 90% KIL",1,2,1,1,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000.0,150000.0,1,1,0,0,1,-1,0,0,1,1,1,0,0,0,1.3,1.3,0,1,0,0,0,0,0,0,0,0,0,0,1998/01/19 00:00:00+00,1998/01/19 00:00:00+00,1,-1,"GROUNDSPRAY, 90% KIL",0.0, ,0.0, ,0.0, ,0,0,0,0,0,90,Swarm,Saudi Arabia
41.8000000000001,27.5170000000001,11744,1998/03/01 00:00:00+00,00:00,1998/03/29 00:00:00+00,00:00,Yes,, ,330.0,Vague, ,11835,SAU98-10, ,1,2,1,2,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1998/03/01 00:00:00+00,1998/03/29 00:00:00+00,1,-1, ,0.0, ,0.0, ,0.0, ,0,0,0,0,0,0,Swarm,Saudi Arabia
41.2,18.883,11746,1998/01/20 00:00:00+00,00:00,1998/01/20 00:00:00+00,00:00,Yes,, ,1100.0,Exact, ,9890,SAU98-02,"GROUNDSPRAY, 90% KIL",1,2,1,1,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000.0,3000000.0,0,0,1,0,1,-1,0,0,1,1,1,0,0,0,12.0,12.0,0,0,1,0,0,0,0,0,0,0,0,0,1998/01/20 00:00:00+00,1998/01/20 00:00:00+00,1,-1,"GROUNDSPRAY, 90% KIL",0.0, ,0.0, ,0.0, ,0,0,0,0,0,90,Swarm,Saudi Arabia
40.5170000000001,20.1,11747,1998/01/16 00:00:00+00,00:00,1998/01/16 00:00:00+00,00:00,Yes,, ,280.0,Exact, ,9872,SAU98-02,"GROUNDSPRAY, 95% KIL",1,2,1,1,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,1,0,1,-1,0,0,1,0,1,0,0,0,5.0,5.0,0,1,0,0,0,0,0,0,0,0,0,0,1998/01/16 00:00:00+00,1998/01/16 00:00:00+00,1,-1,"GROUNDSPRAY, 95% KIL",0.0, ,0.0, ,0.0, ,0,0,0,0,0,95,Swarm,Saudi Arabia
40.4,20.183,11749,1998/01/21 00:00:00+00,00:00,1998/01/21 00:00:00+00,00:00,Yes,, ,80.0,Exact, ,9886,SAU98-02,"GROUNDSPRAY, 90% KIL",1,2,1,1,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,-1,0,0,1,1,1,0,0,0,0.80000001,0.80000001,1,0,0,0,0,0,0,0,0,0,0,0,1998/01/21 00:00:00+00,1998/01/21 00:00:00+00,1,-1,"GROUNDSPRAY, 90% KIL",0.0, ,0.0, ,0.0, ,0,0,0,0,0,90,Swarm,Saudi Arabia
40.7330000000001,20.15,11751,1998/01/15 00:00:00+00,00:00,1998/01/15 00:00:00+00,00:00,Yes,, ,80.0,Exact, ,9776,SAU98-01,GROUND CONTROL 90% K,1,2,1,1,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,1,0,1,-1,0,0,1,1,1,0,0,0,1.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,1998/01/15 00:00:00+00,1998/01/15 00:00:00+00,1,-1,GROUND CONTROL 90% K,0.0, ,0.0, ,0.0, ,0,0,0,0,0,90,Swarm,Saudi Arabia
38.9520000000001,29.8670000000001,11754,1998/03/14 00:00:00+00,00:00,1998/03/14 00:00:00+00,00:00,Yes,, ,257.0,Approximate, ,11766,SAU98-08,FEW INSECTS MATURING,1,2,1,2,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,-1,1,1,0,0,0,0,0,0,2.0,2.0,0,1,0,0,0,0,0,0,0,0,0,0,1998/03/14 00:00:00+00,1998/03/14 00:00:00+00,1,-1,FEW INSECTS MATURING,0.0, ,0.0, ,0.0, ,0,0,0,0,0,0,Swarm,Saudi Arabia
40.6000000000001,20.2500000000001,11760,1998/01/12 00:00:00+00,00:00,1998/01/12 00:00:00+00,00:00,Yes,, ,140.0,Exact, ,9771,SAU98-01,GROUND CONTROL,1,2,1,1,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,1,0,1,-1,0,0,1,1,1,0,0,0,2.0,2.0,0,1,0,0,0,0,0,0,0,0,0,0,1998/01/12 00:00:00+00,1998/01/12 00:00:00+00,1,-1,GROUND CONTROL,0.0, ,0.0, ,0.0, ,0,0,0,0,0,0,Swarm,Saudi Arabia
